branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition
branch_105	349	51	22.970477552	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Rhynchonycteris_naso	Node349	0
branch_106	325	351	27.694066749	1	1	0	0	0	0	0	1	1	Insectivore	Omnivore	Omnivore	Node351	Node325	1
branch_107	351	352	2.427344998	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Node352	Node351	0
branch_108	352	353	0.7870783591	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Node353	Node352	0
branch_109	353	354	4.1078673852	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Node354	Node353	0
branch_110	354	355	0.4114258156	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Node355	Node354	0
branch_111	355	356	10.4904544911	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Node356	Node355	0
branch_112	356	52	14.426662325	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Phyllostomus_hastatus	Node356	0
branch_113	356	53	14.426662324	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Phyllostomus_discolor	Node356	0
branch_114	355	357	9.718859448	1	1	0	0	0	0	0	1	1	Omnivore	Plant_dominant	Plant_dominant	Node357	Node355	1
branch_115	357	358	11.7208639564	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node358	Node357	0
branch_116	358	54	3.477393811	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Artibeus_jamaicensis	Node358	0
branch_117	358	55	3.4773938112	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Artibeus_lituratus	Node358	0
branch_118	357	56	15.1982582024	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Platyrrhinus_helleri	Node357	0
branch_119	354	57	25.328540093	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Anoura_caudifer	Node354	0
