branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	diet_binary	stable_diet_branch	child_label	parent_label
branch_340	386	387	14.658325203	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node387	Node386
branch_341	387	169	8.517274521	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Phodopus_roborovskii	Node387
branch_342	387	170	8.5172764402	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Phodopus_sungorus	Node387
branch_343	380	388	0.2275966099	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node388	Node380
branch_344	388	389	9.204689757	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node389	Node388
branch_345	389	171	25.85231116743	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Neotoma_floridana	Node389
branch_346	389	390	21.450505087	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node390	Node389
branch_347	390	172	4.401805829	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Onychomys_leucogaster	Node390
branch_348	390	173	4.401805829	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Onychomys_arenicola	Node390
branch_349	388	174	35.0570006728	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Sigmodon_hispidus	Node388
branch_350	368	391	42.450874816	1	0	-1	0	1	0	1	1	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node391	Node368
branch_351	391	175	19.805873883	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Salpingotus_crassicauda	Node391
branch_352	391	392	12.7197350494	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node392	Node391
branch_353	392	176	7.086135855	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Dipus_sagitta	Node392
branch_354	392	177	7.0861365997	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Jaculus_jaculus	Node392
branch_355	347	393	15.085574	2	2	0	0	0	0	0	2	2	Non_plant	Non_plant	Non_plant	Non_plant	1	Node393	Node347
branch_356	393	394	0.05795644439	2	2	0	0	0	0	0	2	2	Non_plant	Non_plant	Non_plant	Non_plant	1	Node394	Node393
branch_357	394	395	18.86443727	2	1	-1	0	1	0	1	2	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node395	Node394
branch_358	395	396	8.655874188	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node396	Node395
branch_359	396	178	41.42536012	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Daubentonia_madagascariensis	Node396
branch_360	396	397	19.769875437	1	1	0	0	0	0	0	1	1	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node397	Node396
branch_361	397	179	21.655496605	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lemur_catta	Node397
branch_362	397	180	21.655494797	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Microcebus_murinus	Node397
branch_363	395	398	49.4153310745	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node398	Node395
branch_364	398	181	0.6659202109	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Nycticebus_coucang	Node398
branch_365	398	182	0.6659202109	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Nycticebus_bengalensis	Node398
branch_366	394	399	37.833758061	2	2	0	0	0	0	0	2	2	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node399	Node394
branch_367	399	400	9.525145053	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node400	Node399
branch_368	400	401	7.90771396	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node401	Node400
branch_369	401	402	8.654258705	4	3	-1	0	1	0	1	4	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node402	Node401
branch_370	402	403	1.03259404	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node403	Node402
branch_371	403	183	3.992209344	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Symphalangus_syndactylus	Node403
branch_372	403	184	3.992210429	3	2	-1	0	1	0	1	3	2	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Hylobates_pileatus	Node403
branch_373	402	185	5.0248041069	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Nomascus_leucogenys	Node402
branch_374	401	404	4.232750082	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node404	Node401
branch_375	404	405	7.347069038	4	6	2	2	0	1	0	4	6	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node405	Node404
branch_376	405	186	2.099245499	6	5	-1	0	1	0	1	6	5	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Pongo_pygmaeus	Node405
branch_377	405	187	2.099245499	6	8	2	2	0	1	0	6	8	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Pongo_abelii	Node405
branch_378	404	406	3.699579215	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node406	Node404
branch_379	406	407	4.386151227	4	3	-1	0	1	0	1	4	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node407	Node406
branch_380	407	188	1.360582288	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Pan_troglodytes	Node407
branch_381	407	189	1.360582288	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Pan_paniscus	Node407
branch_382	406	190	5.746732792	4	4	0	0	0	0	0	4	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Gorilla_gorilla	Node406
branch_383	400	408	8.241728647	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node408	Node400
branch_384	408	409	4.182301472	4	3	-1	0	1	0	1	4	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node409	Node408
branch_385	409	410	6.16243915348	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node410	Node409
branch_386	410	411	0.3206371858	3	3	0	0	0	0	0	3	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node411	Node410
branch_387	411	191	2.6796712353	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Trachypithecus_germaini	Node411
branch_388	411	192	2.6796712351	3	2	-1	0	1	0	1	3	2	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Trachypithecus_francoisi	Node411
