analysis	n_branches	plant_branches	nonplant_branches	plant_time	nonplant_time	plant_gain	nonplant_gain	plant_loss	nonplant_loss	plant_gain_events	nonplant_gain_events	plant_loss_events	nonplant_loss_events	plant_gain_rate	nonplant_gain_rate	gain_rate_ratio	gain_rate_ratio_corrected	gain_poisson_p	gain_poisson_low95	gain_poisson_high95	gain_fisher_or	gain_fisher_p	plant_loss_rate	nonplant_loss_rate	loss_rate_ratio	loss_rate_ratio_corrected	loss_poisson_p	loss_poisson_low95	loss_poisson_high95	loss_fisher_or	loss_fisher_p
remove_Macroscelidea_all_branches	587	229	358	2167.94419997928	3798.6066592657	53	7	39	17	25	1	33	17	0.0244471236854281	0.00184278095309641	13.2664295473371	12.4988122401956	8.79615739705149e-17	6.01054405165361	34.5887133274292	43.5508694402802	4.39729785631527e-10	0.0179893929005981	0.00447532517180556	4.0196839804917	3.9548978650552	4.83458866078245e-07	2.22129849485177	7.57787154259875	3.36991781016569	6.31565299564034e-05
remove_Macroscelidea_stable_branches	530	213	317	1891.33179831665	3158.4721685737	52	0	39	12	24	0	33	12	0.0274938538263259	0	Inf	175.347116775284	6.63203280117062e-23	22.7155222080242	Inf	Inf	1.39124322442078e-10	0.0206203903697444	0.00379930528418079	5.42741075733023	5.2771132286657	1.73183031392463e-08	2.78411295907955	11.3860617325552	4.6458181258229	4.02162694652077e-06
remove_Perissodactyla_all_branches	583	224	359	2055.56189847978	3876.2995039087	43	7	39	17	22	1	33	17	0.0209188543686285	0.00180584601188363	11.5839635444933	10.9374167420099	8.96570027589868e-14	5.16655599052574	30.52026024866	38.8123309915495	5.62877252841785e-09	0.0189729144273607	0.00438562602886023	4.32615875191062	4.25643311634869	1.2270539367171e-07	2.39065806435196	8.15563498373768	3.46799704297758	5.20888678816864e-05
remove_Perissodactyla_stable_branches	526	208	318	1778.94949681715	3236.1650132167	42	0	39	12	21	0	33	12	0.0236094392084459	0	Inf	154.627226132937	1.24473281567732e-19	19.8157328959997	Inf	Inf	1.82257235154715e-09	0.0219230506935569	0.00370809274279626	5.91221746978876	5.74849452447153	2.95074695838374e-09	3.03280551454563	12.4031285077121	4.79368872168604	1.91492144282484e-06
remove_Pholidota_all_branches	585	229	356	2167.94419997928	3805.1677456399	53	7	39	16	25	1	33	16	0.0244471236854281	0.00183960352550051	13.28934378878	12.5204006261588	8.33379219179518e-17	6.02092567371038	34.6484561637032	43.3069157257125	4.7883954325477e-10	0.0179893929005981	0.00420480805828689	4.27829110181245	4.20183368507454	2.83173118196603e-07	2.33633654915429	8.20055952529323	3.56974127489135	4.60994724070656e-05
remove_Pholidota_stable_branches	528	213	315	1891.33179831665	3165.0332549479	52	0	39	11	24	0	33	11	0.0274938538263259	0	Inf	175.711364904515	6.19903040063115e-23	22.7627091057669	Inf	Inf	1.52648559007104e-10	0.0206203903697444	0.00347547691096253	5.93311102274985	5.74790800308765	7.75773505602529e-09	2.98002407877633	12.8446652096266	5.05083224989621	1.46109574697527e-06
remove_Pilosa_all_branches	581	226	355	2076.53919983628	3795.0836747737	53	7	39	17	25	1	33	17	0.0255232359707819	0.00184449161069351	13.8375451657302	13.0368821750087	2.32524347414026e-17	6.26929608215968	36.0777465545632	43.8264570871273	4.04317243399276e-10	0.0187812491105754	0.00447947962596996	4.19273011125898	4.12515497393466	3.11084191113899e-07	2.31692469623446	7.90409652850866	3.39206455049372	5.99918244045387e-05
remove_Pilosa_stable_branches	525	211	314	1833.26470455365	3154.9491840817	52	0	39	12	24	0	33	12	0.0283646981643388	0	Inf	180.699308455422	2.480651269333e-23	23.4088773723841	Inf	Inf	1.38141746136209e-10	0.0212735236232541	0.0038035477910535	5.59307383314402	5.4381887116108	1.09051427310569e-08	2.86909357632714	11.7336031463818	4.65165728396707	3.98566250791779e-06
remove_Primates_all_branches	507	167	340	1829.1873270346	3696.0991501107	41	0	21	16	15	0	17	16	0.0224143254187462	0	Inf	167.711761898395	2.07032592707333e-20	21.463029862558	Inf	Inf	3.75938060965482e-08	0.011480508141309	0.00432888820082675	2.6520685239957	2.63293383046038	0.00436727408944591	1.31861221917242	5.43611970666684	2.2909085640761	0.0222436997433028
remove_Primates_stable_branches	457	151	306	1552.57492537197	3156.6335451175	40	0	21	12	14	0	17	12	0.0257636519476937	0	Inf	164.685976165214	5.29890403559221e-20	21.045414661769	Inf	Inf	1.21422337492583e-07	0.0135259172725392	0.00380151824039281	3.55803034924845	3.49703554326134	0.00033033353753266	1.67188397436229	7.93316116593335	3.09965426803117	0.00383894838274355
