species	PGA_CN	diet_state	contig_N50	gap_free	pass_N50	gap_free_norm	pass_gap	pass_quality_flag	pass_high_quality
Mus_spretus	0	Plant_dominant	10023970	TRUE	TRUE	true	TRUE	TRUE	TRUE
Mus_musculus	0	Plant_dominant	59462871	TRUE	TRUE	true	TRUE	TRUE	TRUE
Arvicanthis_niloticus	0	Non_plant	11143170	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rattus_norvegicus	0	Non_plant	64250101	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lemmus_lemmus	0	Plant_dominant	51466831	TRUE	TRUE	true	TRUE	TRUE	TRUE
Chionomys_nivalis	0	Non_plant	30960136	TRUE	TRUE	true	TRUE	TRUE	TRUE
Microtus_pennsylvanicus	0	Plant_dominant	63584353	TRUE	TRUE	true	TRUE	TRUE	TRUE
Microtus_oregoni	0	Plant_dominant	34833828	TRUE	TRUE	true	TRUE	TRUE	TRUE
Microtus_californicus	0	Plant_dominant	49752295	TRUE	TRUE	true	TRUE	TRUE	TRUE
Cricetus_cricetus	0	Plant_dominant	47690202	TRUE	TRUE	true	TRUE	TRUE	TRUE
Phodopus_roborovskii	0	Non_plant	25775705	TRUE	TRUE	true	TRUE	TRUE	TRUE
Phodopus_sungorus	0	Non_plant	55879606	TRUE	TRUE	true	TRUE	TRUE	TRUE
Neotoma_floridana	0	Plant_dominant	28556977	TRUE	TRUE	true	TRUE	TRUE	TRUE
Onychomys_leucogaster	0	Non_plant	19200283	TRUE	TRUE	true	TRUE	TRUE	TRUE
Onychomys_arenicola	0	Non_plant	29018958	TRUE	TRUE	true	TRUE	TRUE	TRUE
Sigmodon_hispidus	0	Non_plant	77390441	TRUE	TRUE	true	TRUE	TRUE	TRUE
Salpingotus_crassicauda	0	Non_plant	13709620	TRUE	TRUE	true	TRUE	TRUE	TRUE
Dipus_sagitta	0	Plant_dominant	28651707	TRUE	TRUE	true	TRUE	TRUE	TRUE
Jaculus_jaculus	0	Non_plant	22593140	TRUE	TRUE	true	TRUE	TRUE	TRUE
Daubentonia_madagascariensis	1	Non_plant	27954151	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lemur_catta	1	Plant_dominant	32529614	TRUE	TRUE	true	TRUE	TRUE	TRUE
Microcebus_murinus	1	Plant_dominant	102817952	TRUE	TRUE	true	TRUE	TRUE	TRUE
Nycticebus_coucang	1	Non_plant	41197715	TRUE	TRUE	true	TRUE	TRUE	TRUE
Nycticebus_bengalensis	1	Non_plant	19794679	TRUE	TRUE	true	TRUE	TRUE	TRUE
Symphalangus_syndactylus	3	Plant_dominant	146713733	TRUE	TRUE	true	TRUE	TRUE	TRUE
Hylobates_pileatus	2	Plant_dominant	17385161	TRUE	TRUE	true	TRUE	TRUE	TRUE
Nomascus_leucogenys	3	Plant_dominant	102188915	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pongo_pygmaeus	5	Plant_dominant	140592248	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pongo_abelii	8	Plant_dominant	146197178	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pan_troglodytes	3	Plant_dominant	146288486	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pan_paniscus	3	Plant_dominant	147028407	TRUE	TRUE	true	TRUE	TRUE	TRUE
Gorilla_gorilla	4	Plant_dominant	150804130	TRUE	TRUE	true	TRUE	TRUE	TRUE
Trachypithecus_germaini	4	Plant_dominant	55907425	TRUE	TRUE	true	TRUE	TRUE	TRUE
Trachypithecus_francoisi	2	Plant_dominant	16182741	TRUE	TRUE	true	TRUE	TRUE	TRUE
Trachypithecus_shortridgei	4	Plant_dominant	50335884	TRUE	TRUE	true	TRUE	TRUE	TRUE
Colobus_guereza	3	Plant_dominant	15612012	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macaca_fascicularis	13	Non_plant	162126771	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macaca_mulatta	4	Plant_dominant	162285572	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macaca_nigra	4	Plant_dominant	60712129	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macaca_assamensis	5	Plant_dominant	27348716	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macaca_nemestrina	4	Plant_dominant	40835442	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macaca_silenus	2	Plant_dominant	25691658	TRUE	TRUE	true	TRUE	TRUE	TRUE
Papio_hamadryas	3	Plant_dominant	24989958	TRUE	TRUE	true	TRUE	TRUE	TRUE
Erythrocebus_patas	4	Plant_dominant	18747272	TRUE	TRUE	true	TRUE	TRUE	TRUE
Callithrix_jacchus	1	Non_plant	137132494	TRUE	TRUE	true	TRUE	TRUE	TRUE
Leontopithecus_rosalia	1	Non_plant	54097536	TRUE	TRUE	true	TRUE	TRUE	TRUE
Saguinus_midas	1	Non_plant	10987047	TRUE	TRUE	true	TRUE	TRUE	TRUE
