Scientific	BodyMass-Value
Hipposideros calcaratus	11.35
Paracoelops megalotis	5.67
Rhinonicteris aurantia	8.77
Triaenops auritus	8.6
Triaenops rufus	9.1
Triaenops persicus	12.58
Triaenops furculus	5.56
Megaderma spasma	25.38
Megaderma lyra	45.54
Cardioderma cor	27.84
Lavia frons	23.93
Macroderma gigas	126.43
Rhinopoma microphyllum	27.87
Rhinopoma hardwickii	13.1
Rhinopoma macinnesi	14.94
Rhinopoma muscatellum	9.14
Lophostoma schulzi	18.02
Lophostoma evotis	20.58
Lophostoma carrikeri	22.35
Lophostoma brasiliense	9.76
Lophostoma silvicolum	32.29
Macrophyllum macrophyllum	8.1
Macrotus californicus	11.63
Macrotus waterhousii	12.75
Micronycteris brosseti	4.85
Micronycteris sanborni	6.3
Micronycteris minuta	6.5
Micronycteris hirsuta	12.01
Micronycteris homezi	6.8
Micronycteris matses	6.85
Micronycteris megalotis	6.11
Micronycteris microtis	6.5
Micronycteris schmidtorum	7.53
Chrotopterus auritus	77.86
Glyphonycteris behnii	11.32
Glyphonycteris daviesi	18.61
Glyphonycteris sylvestris	8.91
Lampronycteris brachyotis	10.39
Lonchorhina orinocensis	8.8
Lonchorhina inusitata	13.29
Lonchorhina aurita	15.7
Lonchorhina marinkellei	17
Lonchorhina fernandezi	14.32
Mimon bennettii	25.2
Mimon cozumelae	18.61
Mimon crenulatum	13.75
Mimon koepckeae	18.61
Neonycteris pusilla	12.35
Phylloderma stenops	53.68
Phyllostomus elongatus	40.43
Phyllostomus hastatus	87.21
Phyllostomus latifolius	134
Phyllostomus discolor	34.13
Tonatia bidens	27.21
Tonatia saurophila	30
Trachops cirrhosus	37.67
Trinycteris nicefori	8.25
Vampyrum spectrum	167.65
Artibeus phaeotis	11.59
Artibeus cinereus	12.63
Artibeus glaucus	11.06
Artibeus gnomus	10.06
Artibeus incomitatus	26.52
Artibeus aztecus	20.38
Artibeus toltecus	15.4
Artibeus watsoni	11.2
Artibeus anderseni	138
Artibeus fimbriatus	63.9
Artibeus fraterculus	36
Artibeus hirsutus	38.73
Artibeus amplus	60
Artibeus inopinatus	29.3
Artibeus jamaicensis	42.17
Artibeus obscurus	35.2
Artibeus lituratus	60.54
Artibeus concolor	19.35
Centurio senex	21.22
Ametrida centurio	10.33
Ardops nichollsi	17.16
Ariteus flavescens	11.9
Chiroderma trinitatum	13.68
Chiroderma villosum	23.12
Chiroderma salvini	25.52
Chiroderma improvisum	35
Chiroderma doriae	19.9
Ectophylla alba	5.76
Enchisthenes hartii	16.99
Mesophylla macconnelli	6.92
Phyllops falcatus	20.91
Platyrrhinus recifinus	22
Platyrrhinus dorsalis	26
Platyrrhinus umbratus	24.5
Platyrrhinus helleri	13.5
Platyrrhinus infuscus	50.2
Platyrrhinus chocoensis	22
Platyrrhinus brachycephalus	14.1
Platyrrhinus aurarius	34.15
Platyrrhinus lineatus	24.36
Platyrrhinus vittatus	41.4
Pygoderma bilabiatum	18.5
Sphaeronycteris toxophyllum	16.18
Stenoderma rufum	20.65
Uroderma bilobatum	16.69
Uroderma magnirostrum	16.85
Vampyressa pusilla	8.63
Vampyressa thyone	7.17
Vampyressa melissa	16.3
Vampyressa brocki	10
Vampyressa nymphaea	11.8
Vampyressa bidens	11.6
Vampyrodes caraccioli	34.7
Sturnira tildae	24.04
Sturnira oporaphilum	21.99
Sturnira thomasi	21.66
Sturnira mordax	25.08
Sturnira magna	21.66
Sturnira luisi	21
Sturnira ludovici	21.02
Sturnira lilium	19.1
Sturnira erythromos	15.1
Sturnira bogotensis	20.8
Sturnira aratathomasi	48.63
Sturnira mistratensis	22.27
Sturnira nana	18.47
Sturnira bidens	17.55
Desmodus rotundus	31.21
Diaemus youngi	36.31
Diphylla ecaudata	29.3
Brachyphylla cavernarum	46.17
Brachyphylla nana	35.83
Erophylla sezekorni	15.8
Erophylla bombifrons	16.28
Phyllonycteris poeyi	15.36
Phyllonycteris major	14.15
Phyllonycteris aphylla	14.15
Anoura cultrata	16.85
Anoura geoffroyi	14.62
Anoura latidens	14.65
Anoura luismanueli	14.05
Anoura caudifer	10.81
Choeroniscus godmani	7.9
Choeroniscus minor	8.73
Choeroniscus periosus	11.57
Choeronycteris mexicana	16.6
Glossophaga longirostris	11.92
Glossophaga leachii	10.1
Glossophaga morenoi	8.4
Glossophaga soricina	9.43
Glossophaga commissarisi	8.9
Hylonycteris underwoodi	6.65
Leptonycteris yerbabuenae	22.24
Leptonycteris nivalis	25.64
Leptonycteris curasoae	23.42
Lichonycteris obscura	5.6
Monophyllus redmani	8.7
Monophyllus plethodon	14.81
Musonycteris harrisoni	13.37
Scleronycteris ega	49
Lionycteris spurrelli	8.38
Lonchophylla mordax	10.7
Lonchophylla bokermanni	11.8
Lonchophylla dekeyseri	11.8
Lonchophylla handleyi	18.5
Lonchophylla hesperia	11.8
Lonchophylla thomasi	6.85
Lonchophylla robusta	13
Platalina genovensium	16.25
Carollia brevicauda	14.4
Carollia castanea	13.27
Carollia colombiana	15.47
Carollia perspicillata	18
Carollia subrufa	15.59
Carollia sowelli	16.5
Rhinophylla alethina	13.57
Rhinophylla fischerae	9.6
Rhinophylla pumilio	9.55
Craseonycteris thonglongyai	2.15
Saccolaimus flaviventris	42.13
Saccolaimus mixtus	23.03
Saccolaimus peli	100
Saccolaimus saccolaimus	41.8
Taphozous perforatus	27.33
Taphozous melanopogon	25.94
Taphozous achates	26.96
Taphozous australis	22.9
Taphozous georgianus	27.66
Taphozous hildegardeae	29.6
Taphozous hilli	22
Taphozous kapalgensis	26
Taphozous longimanus	26.92
Taphozous theobaldi	39.8
Taphozous mauritianus	27.35
Taphozous troughtoni	26.96
Taphozous hamiltoni	22
Taphozous nudiventris	30.07
Balantiopteryx infusca	4.38
Balantiopteryx io	4.3
Balantiopteryx plicata	6.39
Centronycteris centralis	5
Centronycteris maximiliani	5
Coleura afra	10.67
Coleura seychellensis	10.57
Cormura brevirostris	9.18
Cyttarops alecto	5.3
Diclidurus albus	15.6
Diclidurus ingens	123
Diclidurus scutatus	13.25
Diclidurus isabellus	14
Emballonura serii	5.75
Emballonura alecto	5.25
Emballonura atrata	4.55
Emballonura beccarii	4.2
Emballonura dianae	7.97
Emballonura furax	11.15
Emballonura monticola	5.68
Emballonura semicaudata	6.3
Emballonura raffrayana	5.6
Mosia nigrescens	3.25
Peropteryx kappleri	9.42
Peropteryx macrotis	5.42
Peropteryx trinitatis	4.19
Peropteryx leucoptera	6
Rhynchonycteris naso	3.83
Saccopteryx leptura	4.72
Saccopteryx antioquensis	4.72
Saccopteryx bilineata	7.8
Saccopteryx canescens	3.38
Saccopteryx gymnura	4
Nycteris aurita	11.86
Nycteris madagascariensis	17.69
Nycteris grandis	30.16
Nycteris arge	11.95
Nycteris gambiensis	6.95
Nycteris hispida	8.63
Nycteris intermedia	10.65
Nycteris macrotis	14.46
Nycteris major	11.21
Nycteris nana	6.95
Nycteris parisii	11.86
Nycteris thebaica	9.81
Nycteris tragata	14.4
Nycteris vinsoni	11.86
Nycteris woodi	7.55
Nycteris javanica	17.7
Myzopoda aurita	9.1
Mystacina robusta	27.25
Mystacina tuberculata	12.6
Mops trevori	18.65
Mops mops	30.95
Mops sarasinorum	24.17
Mops niveiventer	21.7
Mops niangarae	18.65
Mops demonstrator	18.65
Mops congicus	42.95
Mops leucostigma	26.79
Mops midas	45.22
Mops condylurus	28.37
Mops petersoni	18.65
Mops spurrelli	8.08
Mops thersites	22
Mops nanulus	18.65
Mops brachypterus	16
Chaerephon bemmeleni	19
Chaerephon solomonis	14.53
Chaerephon ansorgei	16.14
Chaerephon jobensis	16.89
Chaerephon bivittatus	15.42
Chaerephon bregullae	14.53
Chaerephon chapini	10
Chaerephon gallagheri	18.65
Chaerephon leucogaster	12.5
Chaerephon nigeriae	19.8
Chaerephon plicatus	21.83
Chaerephon pumilus	10.98
Chaerephon shortridgei	14.53
Chaerephon tomensis	7.48
Chaerephon aloysiisabaudiae	14.53
Chaerephon johorensis	18.65
Chaerephon russatus	16.98
Chaerephon major	14.75
Cheiromeles torquatus	163.5
Cheiromeles parvidens	163.5
Cynomops abrasus	35.39
Cynomops greenhalli	15.87
Cynomops mexicanus	17.21
Cynomops paranus	12.16
Cynomops planirostris	12.84
Eumops dabbenei	104.35
Eumops bonariensis	11.9
Eumops trumbulli	34.01
Eumops glaucinus	35.38
Eumops hansae	15.05
Eumops maurus	29.38
Eumops patagonicus	34.01
Eumops perotis	51.13
Eumops underwoodi	54.7
Eumops auripendulus	28.45
Molossops temminckii	5.9
Molossops neglectus	11
Molossops aequatorianus	14.51
Molossops mattogrossensis	6.83
Molossus currentium	17.79
Molossus sinaloae	22.58
Molossus rufus	25
Molossus molossus	13.58
Molossus coibensis	18.73
Molossus barnesi	14.8
Molossus aztecus	14.86
Molossus pretiosus	27
Mormopterus jugularis	11.5
Mormopterus phrudus	13.44
Mormopterus norfolkensis	8
Mormopterus minutus	13.44
Mormopterus loriae	7
Mormopterus kalinowskii	13.44
Mormopterus acetabulosus	11
Mormopterus beccarii	14.85
Mormopterus doriae	12.5
Mormopterus planiceps	8.8
Myopterus daubentonii	23.62
Myopterus whitleyi	11.5
Nyctinomops macrotis	18.4
Nyctinomops aurispinosus	17.95
Nyctinomops femorosaccus	14.63
Nyctinomops laticaudatus	12.22
Otomops formosus	21.4
Otomops wroughtoni	21.4
Otomops papuensis	16.5
Otomops martiensseni	34.3
Otomops secundus	21.4
Otomops johnstonei	24.19
Otomops madagascariensis	25
Platymops setiger	13
Promops centralis	26.37
Promops nasutus	15.2
Sauromys petrophilus	14.25
Tadarida teniotis	27.04
Tadarida ventralis	23.62
Tadarida latouchei	23.55
Tadarida lobata	23.62
Tadarida kuboriensis	26.8
Tadarida aegyptiaca	16.78
Tadarida australis	31.8
Tadarida brasiliensis	12.49
Tadarida fulminans	35.28
Tadarida insignis	23.55
Tomopeas ravus	2.54
Eptesicus furinalis	7.74
Eptesicus dimissus	13.03
Eptesicus fuscus	16.46
Eptesicus diminutus	6
Eptesicus chiriquinus	11.25
Eptesicus brasiliensis	9.47
Eptesicus bottae	14.23
Eptesicus matroka	6.57
Eptesicus andinus	10.96
Eptesicus tatei	11.42
Eptesicus japonensis	10.96
Eptesicus nasutus	7.91
Eptesicus nilssonii	10.72
Eptesicus pachyotis	8.28
Eptesicus platyops	11.42
Eptesicus serotinus	22.86
Eptesicus bobrinskoi	7.55
Eptesicus gobiensis	10.96
Eptesicus innoxius	8.86
Eptesicus guadeloupensis	11.42
Eptesicus hottentotus	30
Eptesicus kobayashii	10.96
Eptesicus floweri	10.17
Arielulus aureocollaris	10.4
Arielulus torquatus	10.4
Arielulus societatis	8.03
Arielulus circumdatus	10.4
Arielulus cuprosus	10.4
Hesperoptenus doriae	9.56
Hesperoptenus gaskelli	13.07
Hesperoptenus tomesi	31
Hesperoptenus tickelli	16.3
Hesperoptenus blanfordi	6.53
Scotophilus dinganii	25.13
Scotophilus robustus	26.03
Scotophilus borbonicus	18
Scotophilus heathii	36.13
Scotophilus collinus	28.26
Scotophilus kuhlii	20.73
Scotophilus nux	30
Scotophilus nucella	28.26
Scotophilus viridis	19.6
Scotophilus nigrita	101
Scotophilus leucogaster	20.23
Scotophilus celebensis	26.77
Scotorepens balstoni	11.92
Scotorepens greyii	10
Scotorepens sanborni	8.13
Scotorepens orion	11.83
Nycticeinops schlieffeni	5.05
Nycticeius aenobarbus	8.99
Nycticeius humeralis	8.99
Nycticeius cubanus	8.99
Rhogeessa gracilis	4.88
Rhogeessa tumida	4.58
Rhogeessa parvula	4.37
Rhogeessa mira	4.91
Rhogeessa minutilla	3.75
Rhogeessa hussoni	4.22
Rhogeessa genowaysi	4.64
Rhogeessa aeneus	4.22
Rhogeessa io	4.22
Rhogeessa alleni	5.47
Scoteanax rueppellii	26.41
Scotoecus albofuscus	4.5
Scotoecus hindei	10.41
Scotoecus hirundo	9.34
Scotoecus pallidus	7.43
Scotoecus albigula	10.08
Scotomanes ornatus	21.8
Nyctophilus bifax	9.89
Nyctophilus howensis	7.78
Nyctophilus microdon	7.63
Nyctophilus walkeri	4.34
Nyctophilus heran	7.63
Nyctophilus geoffroyi	7.28
Nyctophilus gouldi	10
Nyctophilus timoriensis	11.73
Nyctophilus nebulosus	7.78
Nyctophilus microtis	7.1
Nyctophilus arnhemensis	6.65
Pharotis imogene	8.34
Lasiurus ebenus	14
Lasiurus borealis	10.74
Lasiurus blossevillii	9.5
Lasiurus castaneus	13.63
Lasiurus cinereus	25.28
Lasiurus degelidus	14.57
Lasiurus egregius	20
Lasiurus varius	14.57
Lasiurus minor	14.57
Lasiurus pfeifferi	14.57
Lasiurus salinae	14.57
Lasiurus seminolus	9.89
Lasiurus atratus	14.57
Lasiurus insularis	14.57
Lasiurus xanthinus	14.57
Lasiurus ega	13.2
Lasiurus intermedius	23.03
Pipistrellus nathusii	7.31
Pipistrellus nanulus	2.5
Pipistrellus maderensis	6.2
Pipistrellus pipistrellus	5.69
Pipistrellus kuhlii	5.93
Pipistrellus minahassae	7.45
Pipistrellus papuanus	5.28
Pipistrellus permixtus	6.36
Pipistrellus javanicus	5.29
Pipistrellus angulatus	3.35
Pipistrellus pygmaeus	5.28
Pipistrellus paterculus	5.6
Pipistrellus inexspectatus	6.2
Pipistrellus hesperus	3.7
Pipistrellus hesperidus	5.28
Pipistrellus endoi	5.6
Pipistrellus deserti	6.2
Pipistrellus coromandra	4.6
Pipistrellus ceylonicus	8.39
Pipistrellus aero	6.2
Pipistrellus adamsi	4.2
Pipistrellus abramus	5.87
Pipistrellus rusticus	4.55
Pipistrellus collinus	6.75
Pipistrellus sturdeei	5.28
Pipistrellus rueppellii	7.07
Pipistrellus stenopterus	15.2
Pipistrellus westralis	3
Pipistrellus wattsi	5.28
Pipistrellus tenuis	4.7
Pipistrellus subflavus	5.76
Scotozous dormeri	6.79
Glischropus javanus	5.91
Glischropus tylopus	4.39
Nyctalus lasiopterus	49.73
Nyctalus plancyi	26.44
Nyctalus noctula	28
Nyctalus aviator	21.85
Nyctalus leisleri	13.28
Nyctalus furvus	26.44
Nyctalus azoreum	21.85
Nyctalus montanus	21.85
Barbastella barbastellus	8.03
Barbastella leucomelas	15.05
Corynorhinus townsendii	10.3
Corynorhinus rafinesquii	9.15
Corynorhinus mexicanus	9.71
Euderma maculatum	15.66
Idionycteris phyllotis	12.03
Otonycteris hemprichii	21.98
Plecotus teneriffae	8.33
Plecotus austriacus	7.3
Plecotus balensis	7.56
Plecotus auritus	7.83
Plecotus kolombatovici	7.56
Plecotus sardus	7.56
Plecotus taivanus	8.54
Plecotus alpinus	7.56
Neoromicia somalicus	3.53
Neoromicia tenuipinnis	5.35
Neoromicia capensis	5.96
Neoromicia flavescens	10.5
Neoromicia guineensis	5.07
Neoromicia helios	3.56
Neoromicia melckorum	5.07
Neoromicia nanus	3.88
Neoromicia brunneus	9.56
Neoromicia zuluensis	4.14
Neoromicia rendalli	6.42
Chalinolobus dwyeri	9.03
Chalinolobus picatus	5.1
Chalinolobus tuberculatus	8.5
Chalinolobus nigrogriseus	8.8
Chalinolobus neocaledonicus	8.71
Chalinolobus morio	8.77
Chalinolobus gouldii	14.47
Eudiscopus denticulus	9.56
Falsistrellus petersi	22.77
Falsistrellus mordax	10.23
Falsistrellus tasmaniensis	22.54
Falsistrellus affinis	10.23
Falsistrellus mackenziei	23
Glauconycteris humeralis	5.49
Glauconycteris alboguttata	8.42
Glauconycteris argentata	9.3
Glauconycteris beatrix	7.5
Glauconycteris curryae	8.11
Glauconycteris gleni	10.81
Glauconycteris kenyacola	7.17
Glauconycteris machadoi	8.11
Glauconycteris poensis	6.91
Glauconycteris superba	8.42
Glauconycteris variegata	11.25
Glauconycteris egeria	8.42
Histiotus velatus	11.2
Histiotus alienus	10.42
Histiotus humboldti	11.1
Histiotus laephotis	11.1
Histiotus magellanicus	11.1
Histiotus macrotus	11
Histiotus montanus	10.42
Hypsugo kitcheneri	9.56
Hypsugo bodenheimeri	2.73
Hypsugo vordermanni	5.12
Hypsugo savii	6.3
Hypsugo pulveratus	5.53
Hypsugo musciculus	5.12
Hypsugo alaschanicus	5.12
Hypsugo lophurus	9.56
Hypsugo joffrei	5.12
Hypsugo imbricatus	6.29
Hypsugo eisentrauti	6.11
Hypsugo cadornae	6.69
Hypsugo ariel	5.12
Hypsugo arabicus	3.17
Hypsugo anthonyi	12.15
Hypsugo anchietae	9.56
Hypsugo macrotis	9.56
Hypsugo crassulus	6.09
Ia io	49.2
Laephotis angolensis	7.48
Laephotis botswanae	7.2
Laephotis namibensis	7.48
Laephotis wintoni	6
Mimetillus moloneyi	8.8
Philetor brachypterus	10.93
Tylonycteris robustula	7.62
Tylonycteris pachypus	3.58
Vespadelus caurinus	3.1
Vespadelus darlingtoni	6.06
Vespadelus douglasorum	4.99
Vespadelus finlaysoni	4.64
Vespadelus pumilus	5.4
Vespadelus regulus	5.05
Vespadelus troughtoni	4.64
Vespadelus vulturnus	3.77
Vespadelus baverstocki	4.8
Vespertilio murinus	18.7
Vespertilio sinensis	24.3
Antrozous pallidus	20.8
Bauerus dubiaquercus	22.22
Cistugo seabrae	8.35
Cistugo lesueuri	7.26
Lasionycteris noctivagans	10.46
Myotis nigricans	4.24
Myotis nesopolus	3.5
Myotis nattereri	7.14
Myotis mystacinus	4.99
Myotis macropus	7.74
Myotis nipalensis	7.74
Myotis occultus	8.79
Myotis myotis	24.79
Myotis muricola	4.09
Myotis morrisi	9.01
Myotis montivagus	8.3
Myotis moluccarum	7.74
Myotis melanorhinus	7.74
Myotis keenii	6.27
Myotis grisescens	10.54
Myotis hajastanicus	7.74
Myotis hasseltii	8.75
Myotis hermani	7.74
Myotis horsfieldii	6.26
Myotis hosonoi	7.74
Myotis ikonnikovi	5.62
Myotis martiniquensis	5.9
Myotis keaysi	5.3
Myotis macrotarsus	12.5
Myotis laniger	7.74
Myotis leibii	5.13
Myotis levis	5.5
Myotis longipes	7.25
Myotis lucifugus	7.65
Myotis macrodactylus	7.2
Myotis ozensis	7.74
Myotis insularum	6.52
Myotis ridleyi	4.5
Myotis oxygnathus	21.23
Myotis sodalis	6.91
Myotis simus	8.2
Myotis siligorensis	2.7
Myotis pruinosus	7.25
Myotis thysanodes	8.13
Myotis ricketti	7.74
Myotis tricolor	13.94
Myotis riparius	5.55
Myotis sicarius	17.43
Myotis septentrionalis	7.74
Myotis scotti	6.86
Myotis schaubi	9.46
Myotis ruber	5
Myotis punicus	7.74
Myotis dominicensis	5.9
Myotis oxyotus	5.5
Myotis rosseti	3.29
Myotis peninsularis	7.26
Myotis pequinius	9.52
Myotis planiceps	5.36
Myotis stalkeri	9.05
Myotis yumanensis	5.39
Myotis oreias	8.31
Myotis yesoensis	7.74
Myotis yanbarensis	7.74
Myotis welwitschii	15.5
Myotis volans	8.46
Myotis vivesi	25
Myotis velifer	10.1
Myotis goudoti	5.56
Myotis annectans	9.8
Myotis bombinus	9.46
Myotis bocagii	7.93
Myotis blythii	22.47
Myotis bechsteinii	9.47
Myotis austroriparius	6.84
Myotis australis	5.62
Myotis auriculus	36.99
Myotis brandtii	5.3
Myotis atacamensis	6.77
Myotis albescens	5.3
Myotis annamiticus	7.74
Myotis anjouanensis	7.74
Myotis altarium	11
Myotis alcathoe	7.74
Myotis gomantongensis	7.74
Myotis aelleni	7.26
Myotis emarginatus	7.66
Myotis abei	7.74
Myotis ater	7.74
Myotis evotis	6.7
Myotis bucharensis	7.74
Myotis frater	7.55
Myotis fortidens	4.35
Myotis formosus	7
Myotis findleyi	5.9
Myotis adversus	10.55
Myotis fimbriatus	7.74
Myotis elegans	4.05
Myotis davidii	7.74
Myotis chiloensis	6.75
Myotis californicus	4.6
Myotis capaccinii	7.44
Myotis daubentonii	7.63
Myotis chinensis	42
Myotis ciliolabrum	4.89
Myotis cobanensis	7.26
Myotis csorbai	7.74
Myotis dasycneme	14.13
Miniopterus shortridgei	9.76
Miniopterus majori	9
Miniopterus inflatus	14.2
Miniopterus gleni	9
Miniopterus fuscus	10.73
Miniopterus fraterculus	7.3
Miniopterus australis	6.15
Miniopterus manavi	7
Miniopterus africanus	9.76
Miniopterus magnater	14.07
Miniopterus medius	11.4
Miniopterus minor	7.01
Miniopterus natalensis	10.43
Miniopterus paululus	9.76
Miniopterus pusillus	8.61
Miniopterus robustior	12.06
Miniopterus schreibersii	11.46
Miniopterus tristis	15.75
Minopterus macrocneme	9.83
Harpiocephalus harpia	16.31
Harpiocephalus mordax	16.31
Murina tenebrosa	5.74
Murina aenea	7.38
Murina tubinaris	5.45
Murina suilla	3.63
Murina silvatica	5.92
Murina ryukyuana	5.92
Murina rozendaali	4.55
Murina puta	6.73
Murina leucogaster	7.55
Murina huttoni	7.6
Murina hilgendorfi	5.92
Murina fusca	6.23
Murina florium	4.25
Murina aurata	5.74
Murina ussuriensis	5.74
Murina cyclotis	9.28
Murina grisea	6.58
Kerivoula lenis	4.9
Kerivoula agnella	5.03
Kerivoula argentata	10
Kerivoula cuprosa	5.03
Kerivoula eriophora	5.03
Kerivoula flora	5.95
Kerivoula hardwickii	4.55
Kerivoula africana	4.9
Kerivoula lanosa	6.5
Kerivoula smithii	5.03
Kerivoula minuta	2.07
Kerivoula muscina	5.15
Kerivoula myrella	6.5
Kerivoula papillosa	9.8
Kerivoula pellucida	4.13
Kerivoula phalaena	3
Kerivoula picta	4.5
Kerivoula whiteheadi	3.95
Kerivoula intermedia	3.55
Phoniscus papuensis	6.32
Phoniscus jagorii	4.7
Phoniscus atrox	4.81
Phoniscus aerosa	5.23
Mormoops blainvillei	8.69
Mormoops megalophylla	15.81
Mormoops magna	11.72
Pteronotus davyi	9.21
Pteronotus gymnonotus	14.43
Pteronotus quadridens	5.16
Pteronotus macleayii	5.35
Pteronotus parnellii	19.67
Pteronotus pristinus	9.25
Pteronotus personatus	8.71
Noctilio leporinus	58.32
Noctilio albiventris	30.85
Amorphochilus schnablii	3.3
Furipterus horrens	3.18
Thyroptera discifera	3.1
Thyroptera lavali	3.67
Thyroptera tricolor	4.36
Chilonatalus micropus	2.5
Chilonatalus tumidifrons	3.62
Natalus jamaicensis	5.76
Natalus major	5.76
Natalus primus	5.76
Natalus tumidirostris	6.05
Natalus stramineus	5.48
Nyctiellus lepidus	4.48
Manis crassicaudata	8457.33
Manis pentadactyla	4675
Manis culionensis	5982.25
Manis javanica	5150
Manis temminckii	7179.93
Manis gigantea	32999.7
Manis tetradactyla	2749.98
Manis tricuspis	2066.67
Acinonyx jubatus	46700
Caracal caracal	13749.91
Catopuma badia	2500
Catopuma temminckii	11500
Felis catus	2884.8
Felis silvestris	5099.99
Felis nigripes	1299.99
Felis margarita	2524.99
Felis chaus	7392.98
Felis bieti	5500
Felis manul	3050
Leopardus guigna	5157.94
Leopardus tigrinus	2250
Leopardus pardalis	11900.08
Leopardus wiedii	3249.97
Leopardus geoffroyi	5157.94
Leopardus colocolo	5157.94
Leopardus braccatus	5157.94
Leopardus pajeros	5157.94
Leopardus jacobitus	8133.78
Leptailurus serval	11999.97
Lynx pardinus	9400
Lynx rufus	8904.1
Lynx lynx	17950
Lynx canadensis	9373.25
Pardofelis marmorata	2854.25
Prionailurus bengalensis	3300
Prionailurus iriomotensis	3700
Prionailurus planiceps	6750
Prionailurus rubiginosus	1384.38
Prionailurus viverrinus	9140.33
Profelis aurata	10650.01
Puma yagouaroundi	6875
Puma concolor	51600.04
Neofelis nebulosa	19675.75
Panthera leo	161499.06
Panthera tigris	162564
Panthera onca	100000
Panthera pardus	52038.22
Uncia uncia	44167
Prionodon linsang	700
Prionodon pardicolor	512
Civettictis civetta	11999.97
Genetta tigrina	2225
Genetta abyssinica	1649.99
Genetta angolensis	1649.99
Genetta bourloni	1821.97
Genetta cristata	1863.23
Genetta genetta	1800
Genetta johnstoni	2225
Genetta pardina	1821.97
Genetta poensis	1821.97
Genetta thierryi	1400.01
Genetta victoriae	2999.99
Genetta servalina	1054.99
Genetta piscivora	1648.05
Genetta maculata	2225
Poiana richardsonii	500
Poiana leightoni	500
Viverra civettina	12793.81
Viverra zibetha	9500
Viverra tangalunga	6885
Viverra megaspila	9250
Viverricula indica	2908.43
Arctictis binturong	9875
Arctogalidia trivirgata	2250
Macrogalidia musschenbroekii	4000
Paguma larvata	4300
Paradoxurus zeylonensis	2780.75
Paradoxurus jerdoni	2780.75
Paradoxurus hermaphroditus	3156.66
Chrotogale owstoni	3250
Cynogale bennettii	4500
Diplogale hosei	3124.89
Hemigalus derbyanus	2322.5
Cryptoprocta ferox	9500
Eupleres goudotii	3000
Fossa fossana	1500
Galidia elegans	800
Galidictis grandidieri	1400
Galidictis fasciata	550
Mungotictis decemlineata	650
Salanoia concolor	650
Nandinia binotata	2000
Atilax paludinosus	3299.97
Bdeogale crassicauda	1549.99
Bdeogale jacksoni	2500
Bdeogale nigripes	2500
Crossarchus platycephalus	1250
Crossarchus obscurus	1250
Crossarchus ansorgei	700
Crossarchus alexandri	1500
Cynictis penicillata	836.01
Dologale dybowskii	350
Galerella sanguinea	550
Galerella pulverulenta	797
Galerella flavescens	750
Galerella ochracea	690.18
Helogale hirtula	289
Helogale parvula	300
Herpestes brachyurus	1853.52
Herpestes vitticollis	2575.59
Herpestes urva	1863.2
Herpestes smithii	1781.95
Herpestes semitorquatus	1916.01
Herpestes naso	2999.99
Herpestes javanicus	750
Herpestes ichneumon	5174.98
Herpestes edwardsi	1304.67
Herpestes fuscus	1984.74
Ichneumia albicauda	3500.02
Liberiictis kuhni	2150.01
Mungos mungo	1925
Mungos gambianus	1500
Paracynictis selousi	1639.99
Rhynchogale melleri	2500
Suricata suricatta	725.5
Crocuta crocuta	66492.06
Hyaena hyaena	41705.11
Hyaena brunnea	42977.93
Proteles cristata	8139.39
Vulpes vulpes	5476.17
Vulpes cana	936.85
Vulpes chama	2955.02
Vulpes corsac	2400
Vulpes ferrilata	5000
Vulpes rueppellii	3249.97
Vulpes zerda	1100
Vulpes bengalensis	2726
Vulpes velox	2197.51
Vulpes lagopus	3584.37
Vulpes macrotis	4499.97
Vulpes pallida	2800.01
Atelocynus microtis	7749.97
Canis aureus	10345.23
Canis latrans	13406.33
Canis lupus	32183.33
Canis mesomelas	8500.02
Canis simensis	10000
Canis adustus	10249.91
Cerdocyon thous	5239.98
Chrysocyon brachyurus	23249.84
Cuon alpinus	14173.33
Dusicyon australis	50003.45
Lycalopex fulvipes	5146.58
Lycalopex vetulus	4233.47
Lycalopex sechurae	4234
Lycalopex griseus	5146.58
Lycalopex culpaeus	8616.24
Lycalopex gymnocercus	4542.67
Lycaon pictus	22050.07
Nyctereutes procyonoides	4040
Otocyon megalotis	4150.02
Speothos venaticus	5999.98
Urocyon cinereoargenteus	3833.72
Urocyon littoralis	1896
Odobenus rosmarus	825000
Cystophora cristata	288333.5
Erignathus barbatus	280000
Halichoerus grypus	157667
Histriophoca fasciata	90000
Hydrurga leptonyx	360000
Leptonychotes weddellii	400000
Lobodon carcinophaga	224999.99
Mirounga angustirostris	750000
Mirounga leonina	1600000
Monachus tropicalis	200000
Monachus schauinslandi	223000
Monachus monachus	292500
Ommatophoca rossii	250000
Pagophilus groenlandicus	132250
Phoca vitulina	100000
Phoca largha	150000
Pusa caspica	62326.2
Pusa sibirica	89499.99
Pusa hispida	70963.6
Mustela sibirica	405
Mustela itatsi	57
Mustela eversmanii	1684.21
Mustela erminea	119.38
Mustela subpalmata	350.52
Mustela strigidorsa	1500
Mustela putorius	915.37
Mustela nivalis	103.88
Mustela nigripes	850
Mustela lutreolina	706.6
Mustela nudipes	500
Mustela kathiah	208.08
Mustela frenata	147
Mustela felipei	211.3
Mustela altaica	171
Mustela africana	536.99
Mustela lutreola	440
Arctonyx collaris	6356
Eira barbara	3910.03
