Scientific	BodyMass-Value
Trachypithecus germaini	8516.46
Trachypithecus francoisi	7325
Trachypithecus ebenus	8516.46
Trachypithecus delacouri	8516.46
Trachypithecus cristatus	8350
Trachypithecus barbei	8516.46
Trachypithecus auratus	7100
Trachypithecus hatinhensis	8516.46
Trachypithecus vetulus	8830
Trachypithecus johnii	11921
Bunopithecus hoolock	6699
Hylobates albibarbis	5692.08
Hylobates klossii	5800
Hylobates agilis	5650
Hylobates muelleri	6000
Hylobates moloch	6500
Hylobates lar	4892
Hylobates pileatus	5440
Nomascus concolor	6410.47
Nomascus siki	6850.16
Nomascus gabriellae	6850.16
Nomascus leucogenys	7320
Nomascus hainanus	6850.16
Symphalangus syndactylus	10839
Gorilla gorilla	131625.52
Gorilla beringei	149325.19
Homo sapiens	58540.63
Pan paniscus	34000.08
Pan troglodytes	42500
Pongo abelii	39696.12
Pongo pygmaeus	37000
Tarsius pelengensis	165
Tarsius pumilus	27.5
Tarsius sangirensis	165
Tarsius syrichta	113.5
Tarsius bancanus	94.25
Tarsius dentatus	110.42
Tarsius tarsier	168.04
Aplodontia rufa	1003.99
Ratufa affinis	1156.25
Ratufa bicolor	2050
Ratufa indica	1060
Ratufa macroura	1327.08
Sciurillus pusillus	39
Microsciurus alfari	87.5
Microsciurus santanderensis	99.8
Microsciurus mimulus	120
Microsciurus flaviventer	92
Rheithrosciurus macrotis	1225
Sciurus carolinensis	506.5
Sciurus nayaritensis	697
Sciurus niger	761.9
Sciurus oculatus	649.99
Sciurus variegatoides	485
Sciurus vulgaris	333
Sciurus colliaei	498
Sciurus aureogaster	595
Sciurus arizonensis	646.99
Sciurus yucatanensis	225
Sciurus alleni	434.5
Sciurus lis	264.3
Sciurus deppei	190
Sciurus aberti	623.99
Sciurus stramineus	433.3
Sciurus richmondi	205
Sciurus pucheranii	803.01
Sciurus sanborni	136
Sciurus gilvigularis	803.01
Sciurus granatensis	250
Sciurus ignitus	190
Sciurus aestuans	185
Sciurus anomalus	256
Sciurus flammifer	4292.99
Sciurus pyrrhinus	482
Sciurus griseus	731
Sciurus spadiceus	403.33
Sciurus igniventris	700
Syntheosciurus brochus	132.84
Tamiasciurus hudsonicus	201.17
Tamiasciurus mearnsi	231.58
Tamiasciurus douglasii	225
Aeretes melanopterus	753.23
Aeromys thomasi	1435
Aeromys tephromelas	1075
Belomys pearsonii	217
Biswamoyopterus biswasi	1613.3
Eoglaucomys fimbriatus	510
Eupetaurus cinereus	2500
Glaucomys volans	63.87
Glaucomys sabrinus	166
Hylopetes winstoni	170.82
Hylopetes spadiceus	84.25
Hylopetes sipora	89.2
Hylopetes platyurus	56.98
Hylopetes phayrei	227
Hylopetes nigripes	534
Hylopetes lepidus	50
Hylopetes alboniger	255.38
Hylopetes bartelsi	146.63
Iomys horsfieldii	155.5
Iomys sipora	154.67
Petaurillus hosei	21.1
Petaurillus kinlochii	40
Petaurillus emiliae	13.5
Petaurista leucogenys	1150
Petaurista alborufus	4290
Petaurista elegans	997
Petaurista magnificus	1475.5
Petaurista petaurista	1660.13
Petaurista philippensis	1676
Petaurista xanthotis	1900
Petaurista nobilis	2710
Petinomys crinitus	113
Petinomys vordermanni	40.39
Petinomys setosus	38.44
Petinomys sagitta	50
Petinomys mindanensis	137.64
Petinomys lugens	433
Petinomys hageni	388
Petinomys fuscocapillus	794.5
Petinomys genibarbis	110
Pteromys momonga	297.41
Pteromys volans	143.75
Pteromyscus pulverulentus	334.25
Trogopterus xanthipes	744.94
Callosciurus albescens	220.89
Callosciurus caniceps	257
Callosciurus baluensis	356
Callosciurus erythraeus	280
Callosciurus phayrei	269
Callosciurus prevostii	361.46
Callosciurus pygerythrus	252
Callosciurus quinquestriatus	207.77
Callosciurus notatus	197.5
Callosciurus orestes	278
Callosciurus nigrovittatus	202
Callosciurus adamsi	134.5
Callosciurus melanogaster	278
Callosciurus inornatus	325
Callosciurus finlaysonii	278
Sundasciurus hippurus	406.25
Sundasciurus mindanensis	164.46
Sundasciurus moellendorffi	252
Sundasciurus rabori	163
Sundasciurus juvencus	159.09
Sundasciurus hoogstraali	159.18
Sundasciurus davensis	165.02
Sundasciurus philippinensis	244
Sundasciurus steerii	252
Sundasciurus samarensis	225
Sundasciurus jentinki	76
Sundasciurus brookei	115.5
Sundasciurus tenuis	73.75
Sundasciurus lowii	87.5
Sundasciurus fraterculus	155.51
Dremomys pyrrhomerus	167.73
Dremomys rufigenis	200
Dremomys pernyi	198.63
Dremomys lokriah	227
Dremomys gularis	190.97
Dremomys everetti	147.5
Exilisciurus whiteheadi	20
Exilisciurus exilis	19
Exilisciurus concinnus	30.85
Funambulus sublineatus	70.94
Funambulus palmarum	136.4
Funambulus layardi	113.79
Funambulus tristriatus	139
Funambulus pennantii	200
Glyphotes simus	50
Hyosciurus ileile	315
Hyosciurus heinrichi	296
Lariscus insignis	200
Lariscus niobe	190.2
Lariscus obscurus	241.19
Lariscus hosei	180
Menetes berdmorei	190
Nannosciurus melanotis	50
Prosciurillus weberi	106.26
Prosciurillus rosenbergii	90.41
