species	assembly
Marmota_monax	Marmota_monax__woodchuck__HLmarMon3__GCA_021218885.1
Spermophilus_citellus	Spermophilus_citellus__European_suslik__HLspeCit1__GCA_964194105.1
Tamias_sibiricus	Tamias_sibiricus__Siberian_chipmunk__HLtamSib1__GCA_025594165.1
Tamias_sibiricus	Tamias_sibiricus__Siberian_chipmunk__HLtamSibi2__GCA_047496905.1
Urocitellus_parryii	Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar1__GCA_003426925.1
Urocitellus_parryii	Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar2A__GCA_045843805.1
Urocitellus_parryii	Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar2B__GCA_045843765.1
Chlorocebus_sabaeus	Chlorocebus_sabaeus__green_monkey__HLchlSab3__GCF_015252025.1
Erythrocebus_patas	Erythrocebus_patas__red_guenon__HLeryPat3__GCA_023783455.1
Macaca_assamensis	Macaca_assamensis__Assam_macaque__HLmacAss1__GCA_023783095.1
Macaca_cyclopis	Macaca_cyclopis__Taiwan_macaque__HLmacCyc1__GCA_026956025.1
Macaca_fascicularis	Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2
Macaca_fascicularis	Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1
Macaca_mulatta	Macaca_mulatta__Rhesus_monkey__HLmacMula11__GCF_049350105.2
Macaca_nemestrina	Macaca_nemestrina__Pig-tailed_macaque__HLmacNeme2A__GCF_043159975.1
Macaca_nigra	Macaca_nigra__Celebes_crested_macaque__HLmacNir1__GCA_928851695.1
Macaca_silenus	Macaca_silenus__liontail_macaque__HLmacSil1__GCA_023807365.1
Papio_anubis	Papio_anubis__olive_baboon__HLpapAnu5__GCA_008728515.1
Papio_anubis	Papio_anubis__olive_baboon__HLpapAnu6__GCA_008728515.2
Papio_hamadryas	Papio_hamadryas__hamadryas_baboon__HLpapHam2__GCA_023781915.1
Colobus_guereza	Colobus_guereza__mantled_guereza__HLcolGue1__GCA_021498455.1
Colobus_guereza	Colobus_guereza__Mantled_guereza__HLcolGuer2__GCA_030247045.1
Rhinopithecus_bieti	Rhinopithecus_bieti__Black-and-white_snub-nosed_monkey__HLrhiBiet3
Rhinopithecus_roxellana	Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2__GCA_007565055.1
Trachypithecus_francoisi	Trachypithecus_francoisi__Francoiss_langur__HLtraFra1__GCA_009764315.1
Trachypithecus_germaini	Trachypithecus_germaini__Indochinese_lutung__HLtraGer1__GCA_047047975.1
Trachypithecus_shortridgei	Trachypithecus_shortridgei__Shortridges_langur__HLtraShor1__GCA_054345695.1
Trachypithecus_phayrei	Trachypithecus_phayrei_crepuscula__Phayres_leaf_monkey__HLtraPhaCre1__GCA_023762245.1
Gorilla_gorilla	Gorilla_gorilla__western_gorilla__HLgorGor7__GCA_029281585.3
Gorilla_gorilla	Gorilla_gorilla_gorilla__western_lowland_gorilla__gorGor6__GCF_008122165.1
Pan_paniscus	Pan_paniscus__pygmy_chimpanzee__HLpanPan4__GCA_029289425.3
Pan_troglodytes	Pan_troglodytes__chimpanzee__HLpanTro7__GCA_028858775.2
Pan_troglodytes	Pan_troglodytes__chimpanzee__panTro6__GCF_002880755.1
Pongo_abelii	Pongo_abelii__Sumatran_orangutan__HLponAbe4__GCA_028885655.2
Pongo_pygmaeus	Pongo_pygmaeus__Bornean_orangutan__HLponPyg1__GCA_023767775.1
Pongo_pygmaeus	Pongo_pygmaeus__Bornean_orangutan__HLponPyg2__GCA_028885625.2
Pongo_abelii	Pongo_abelii__Sumatran_orangutan__ponAbe3__GCF_002880775.1
Hoolock_leuconedys	Hoolock_leuconedys__eastern_hoolock_gibbon__HLhooLeu1__GCA_023748175.1
Hylobates_pileatus	Hylobates_pileatus__pileated_gibbon__HLhylPil1__GCA_021498465.1
Nomascus_leucogenys	Nomascus_leucogenys__northern_white-cheeked_gibbon__HLnomLeu4__GCA_006542625.1
Nomascus_leucogenys	Nomascus_leucogenys__Northern_white-cheeked_gibbon__HLnomLeuc5__GCA_040113115.1
Symphalangus_syndactylus	Symphalangus_syndactylus__siamang__HLsymSyn3__GCF_028878055.1
Symphalangus_syndactylus	Symphalangus_syndactylus__siamang__HLsymSyn4__GCA_028878055.3
Ateles_fusciceps	Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2
Ateles_geoffroyi	Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1
Ateles_hybridus	Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1
Brachyteles_arachnoides	Brachyteles_arachnoides__Woolly_spider_monkey__HLbraAra1__GCA_047496155.1
Callithrix_jacchus	Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1
Callithrix_jacchus	Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1
Callithrix_jacchus	Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1
Leontopithecus_rosalia	Leontopithecus_rosalia__Golden_lion_tamarin__HLleoRosa2A__GCA_054824895.1
Saguinus_midas	Saguinus_midas__Midas_tamarin__HLsagMid1__GCA_021498475.1
Saguinus_oedipus	Saguinus_oedipus__Cotton-top_tamarin__HLsagOed1__GCA_031835075.1
Cebus_albifrons	Cebus_albifrons__white-fronted_capuchin__HLcebAlb2__GCA_023783575.1
Sapajus_apella	Sapajus_apella__tufted_capuchin__HLsapApe3__GCA_023762875.2
Saimiri_boliviensis	Saimiri_boliviensis__Bolivian_squirrel_monkey__HLsaiBoli4__GCA_048565385.1
Saimiri_boliviensis	Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol2__GCF_016699345.1
Saimiri_boliviensis	Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol3__GCF_016699345.2
Plecturocebus_cupreus	Plecturocebus_cupreus__Coppery_titi__HLpleCup1__GCA_040437455.1
Plecturocebus_grovesi	Plecturocebus_grovesi__Alta_Floresta_titi_monkey__HLpleGro1__GCA_963574625.1
Cephalopachus_bancanus	Cephalopachus_bancanus__Horsfields_tarsier__HLcepBan1__GCA_027257055.1
Daubentonia_madagascariensis	Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1
Daubentonia_madagascariensis	Daubentonia_madagascariensis__aye-aye__HLdauMad2__GCA_023783475.1
Microcebus_murinus	Microcebus_murinus__Gray_mouse_lemur__HLmicMuri4A__GCF_040939455.1
Microcebus_murinus	Microcebus_murinus__gray_mouse_lemur__micMur3__GCF_000165445.2
Mirza_zaza	Mirza_zaza__Northern_giant_mouse_lemur__HLmirZaz1__GCA_008750895.1
Eulemur_flavifrons	Eulemur_flavifrons__Sclaters_lemur__HLeulFla1
Eulemur_rufifrons	Eulemur_rufifrons__Bennetts_brown_lemur__HLeulRuf1__GCA_041146395.1
Lemur_catta	Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1
Lemur_catta	Lemur_catta__Ring-tailed_lemur__HLlemCat2__GCF_020740605.2
Loris_tardigradus	Loris_tardigradus__slender_loris__HLlorTar1__GCA_023783135.1
Nycticebus_bengalensis	Nycticebus_bengalensis__Bengal_slow_loris__HLnycBen1__GCA_023898255.1
Nycticebus_coucang	Nycticebus_coucang__slow_loris__HLnycCou2__GCF_027406575.1
Xanthonycticebus_pygmaeus	Xanthonycticebus_pygmaeus__pygmy_slow_loris__HLxanPyg1
Tupaia_chinensis	Tupaia_chinensis__Chinese_tree_shrew__HLtupChi2__GCA_033439345.1
Tupaia_tana	Tupaia_tana__large_tree_shrew__HLtupTan1__GCA_026018925.1
Pantholops_hodgsonii	Pantholops_hodgsonii__Chiru__HLpanHodg2__GCA_040182635.1
Bison_bonasus	Bison_bonasus__European_bison__HLbisBon1__GCA_963879515.1
Bos_javanicus	Bos_javanicus__banteng__HLbosJav1__GCF_032452875.1
Bos_taurus	Bos_taurus__cattle__HLbosTau10__GCF_002263795.3
Bos_taurus	Bos_taurus__cattle__bosTau9__GCF_002263795.1
